crop,region,month,quantity_kg,price_per_kg
Onion,Djibouti,10,50.0,108.14
Rice,Central African Republic,12,25.0,494.69
Plantain,Guinea,9,50.0,3667.1
Tomato,Madagascar,12,1000.0,2754.17
Onion,Kenya,2,50.0,68.27
Maize,Nigeria,11,1000.0,454.09
Cassava,South Africa,11,250.0,2.81
Beans,Mali,1,250.0,718.4
Maize,Guinea-Bissau,9,500.0,155.46
Coffee,Guinea-Bissau,4,100.0,2517.3
Plantain,Togo,9,500.0,208.04
Rice,Zimbabwe,1,1000.0,17.75
Irish Potato,South Africa,1,10.0,10.26
Onion,Burkina Faso,9,1000.0,340.92
Cassava,Cote d'Ivoire,6,25.0,141.51
Cocoa,Comoros,1,1000.0,1091.94
Coffee,Angola,1,10.0,3381.52
Cocoa,Mauritania,12,500.0,88.63
Cassava,South Africa,3,10.0,4.14
Coffee,Tunisia,2,500.0,11.37
Cocoa,South Africa,6,10.0,60.66
Tomato,Cabo Verde,9,100.0,85.18
Plantain,Morocco,2,500.0,4.59
Cocoa,Rwanda,1,25.0,3688.42
Maize,Nigeria,7,1000.0,370.47
Plantain,Benin,1,250.0,294.09
Cassava,Sudan,6,250.0,140.73
Rice,Burkina Faso,10,25.0,399.34
Plantain,Guinea-Bissau,7,500.0,247.6
Cocoa,Malawi,6,25.0,6467.64
Plantain,Equatorial Guinea,6,250.0,288.29
Cassava,Mozambique,6,1000.0,12.87
Beans,Liberia,9,50.0,234.68
Tomato,Cabo Verde,12,10.0,70.96
Maize,Equatorial Guinea,8,50.0,170.93
Beans,Morocco,12,50.0,12.08
Cocoa,Congo (DRC),12,250.0,6615.52
Coffee,Angola,4,50.0,4094.72
Tomato,Congo (Republic),2,250.0,376.2
Plantain,Niger,7,250.0,262.51
Onion,Eritrea,3,500.0,7.73
Tomato,Guinea,7,250.0,6920.93
Coffee,Liberia,10,500.0,607.37
Tomato,Togo,11,100.0,437.23
Cassava,Sierra Leone,3,50.0,4746.46
Rice,Lesotho,1,10.0,15.27
Cocoa,South Africa,10,10.0,51.43
Plantain,Eswatini,6,25.0,8.82
Maize,Sao Tome and Principe,11,10.0,6.66
Irish Potato,South Sudan,5,50.0,1507.58
Cassava,Mauritania,9,10.0,6.8
Plantain,Uganda,1,1000.0,1593.84
Beans,Equatorial Guinea,10,250.0,629.03
Irish Potato,Gabon,12,250.0,314.54
Onion,Congo (DRC),10,100.0,1757.6
Irish Potato,Central African Republic,6,500.0,269.01
Coffee,Malawi,3,500.0,6756.94
Onion,Cameroon,7,100.0,376.35
Rice,Burkina Faso,11,500.0,419.94
Beans,Kenya,12,25.0,157.07
Cassava,Tanzania,12,10.0,469.87
Tomato,Egypt,3,100.0,30.62
Irish Potato,Lesotho,1,10.0,9.33
Cocoa,South Africa,11,250.0,47.25
Beans,Namibia,10,500.0,19.71
Irish Potato,Ethiopia,9,100.0,57.27
Coffee,South Africa,4,100.0,74.37
Onion,South Sudan,5,100.0,1766.39
Rice,Mali,2,500.0,453.08
Plantain,Lesotho,11,100.0,7.57
Maize,Gambia,12,1000.0,20.6
Rice,Chad,1,50.0,512.14
Cassava,Angola,8,1000.0,168.08
Beans,Equatorial Guinea,2,250.0,679.96
Beans,Egypt,3,250.0,53.14
Irish Potato,Zimbabwe,10,250.0,13.12
Coffee,Senegal,8,1000.0,1700.59
Cassava,Zambia,8,500.0,4.91
Maize,Cabo Verde,7,500.0,25.8
Onion,Madagascar,12,250.0,2642.12
Tomato,Zimbabwe,2,50.0,17.88
Coffee,Sao Tome and Principe,8,50.0,77.03
Cassava,Benin,7,500.0,121.0
Cocoa,Zimbabwe,11,100.0,64.22
Cassava,Ghana,1,500.0,3.07
Cassava,Madagascar,7,500.0,959.62
Beans,Somalia,3,10.0,582.79
Coffee,Benin,5,10.0,2640.38
Irish Potato,Nigeria,8,500.0,623.44
Irish Potato,Rwanda,5,500.0,601.52
Coffee,Congo (Republic),2,250.0,2141.25
Beans,Algeria,12,100.0,164.03
Plantain,Angola,10,50.0,374.47
Onion,Namibia,4,25.0,8.8
Plantain,Eswatini,10,500.0,6.91
Irish Potato,Mali,6,50.0,263.09
Plantain,Sudan,11,25.0,275.19
Onion,Eswatini,6,500.0,10.63
Plantain,Zimbabwe,8,50.0,10.74
Plantain,Cameroon,2,250.0,274.83
Maize,Gambia,6,1000.0,20.32
Rice,Cameroon,2,50.0,489.79
Rice,Comoros,7,10.0,357.44
Coffee,Morocco,11,50.0,30.93
Cocoa,Uganda,12,500.0,8542.92
Coffee,Egypt,5,1000.0,164.58
Plantain,Eritrea,11,1000.0,5.55
Coffee,Sao Tome and Principe,3,250.0,86.63
Maize,Equatorial Guinea,11,25.0,206.59
Tomato,Central African Republic,5,1000.0,351.18
Maize,Malawi,4,500.0,549.59
Onion,Guinea,11,100.0,5288.19
Plantain,Namibia,4,500.0,8.39
Cassava,Seychelles,6,25.0,3.3
Rice,Burundi,6,250.0,2399.26
Irish Potato,Liberia,12,100.0,108.04
Coffee,Uganda,9,10.0,12753.62
Maize,Cote d'Ivoire,7,10.0,170.82
Cassava,Liberia,10,50.0,36.04
Cocoa,Cabo Verde,8,50.0,334.96
Cocoa,Niger,6,25.0,2174.67
Beans,Gambia,3,50.0,77.5
Cassava,Cabo Verde,5,1000.0,20.64
Tomato,Liberia,4,100.0,111.28
Beans,Guinea,7,500.0,7589.28
Plantain,Djibouti,3,50.0,84.52
Coffee,Kenya,11,250.0,426.35
Irish Potato,Eritrea,3,1000.0,6.23
Beans,Guinea-Bissau,11,250.0,716.63
Onion,Benin,4,10.0,341.98
Maize,Algeria,12,25.0,47.96
Tomato,Burundi,9,250.0,2415.09
Maize,Malawi,3,250.0,547.8
Beans,Algeria,4,500.0,143.31
Beans,Central African Republic,11,500.0,656.04
Cassava,Cote d'Ivoire,3,1000.0,108.37
Coffee,Mauritania,11,1000.0,114.41
Irish Potato,Sierra Leone,2,50.0,12502.15
Tomato,Mauritania,4,25.0,25.98
Onion,Eritrea,10,10.0,9.39
Irish Potato,Eswatini,5,10.0,8.19
Onion,Rwanda,11,250.0,841.66
Cocoa,Eritrea,2,1000.0,39.52
Cassava,Cabo Verde,10,25.0,17.94
Maize,Chad,10,100.0,174.19
Cassava,Algeria,12,10.0,27.78
Plantain,Mali,5,10.0,301.73
Maize,Sudan,5,100.0,184.22
Tomato,Djibouti,9,10.0,134.96
Tomato,Egypt,5,250.0,28.78
Tomato,Algeria,1,250.0,90.99
Cocoa,Sudan,11,25.0,1577.94
Tomato,Madagascar,7,50.0,3405.12
Plantain,Rwanda,10,100.0,567.49
Irish Potato,Zimbabwe,2,50.0,14.15
Coffee,Algeria,1,500.0,448.51
Beans,Ghana,12,10.0,20.16
Onion,Gambia,2,250.0,34.15
Rice,Uganda,4,25.0,3753.99
Coffee,South Sudan,12,1000.0,8405.35
Rice,Kenya,11,500.0,88.53
Onion,Gabon,5,100.0,371.36
Onion,Rwanda,7,500.0,882.33
Beans,Burundi,10,1000.0,2827.36
Cocoa,Sierra Leone,7,10.0,80834.28
Beans,Sao Tome and Principe,6,10.0,23.38
Coffee,Gabon,10,500.0,1886.42
Onion,Gambia,8,50.0,54.35
Plantain,Mali,5,50.0,310.58
Plantain,Tunisia,7,100.0,1.43
Rice,Gabon,5,50.0,543.3
Rice,Central African Republic,4,250.0,496.99
Maize,Uganda,9,25.0,1019.03
Beans,Sao Tome and Principe,8,1000.0,19.58
Beans,Comoros,12,25.0,569.52
Maize,Kenya,6,25.0,40.74
Maize,Lesotho,2,1000.0,5.8
Onion,Lesotho,11,10.0,10.55
Tomato,Egypt,4,500.0,28.74
Irish Potato,Tanzania,2,1000.0,1167.16
Rice,Uganda,8,10.0,2945.38
Coffee,Equatorial Guinea,3,100.0,2057.73
Cocoa,South Africa,9,250.0,51.45
Plantain,Central African Republic,1,25.0,292.71
Tomato,South Sudan,5,250.0,1912.92
Irish Potato,Egypt,11,50.0,25.68
Tomato,Senegal,1,500.0,404.72
Onion,Tunisia,5,10.0,1.8
Irish Potato,Burundi,5,25.0,1304.19
Onion,Chad,8,50.0,416.57
Tomato,Cote d'Ivoire,11,250.0,455.85
Plantain,Sudan,9,50.0,244.91
Irish Potato,Cote d'Ivoire,4,25.0,292.72
Maize,Tunisia,1,1000.0,0.93
Rice,Liberia,4,100.0,178.12
Rice,Libya,10,100.0,3.36
Rice,Cabo Verde,3,1000.0,81.33
Cocoa,Uganda,2,25.0,11077.07
Coffee,Congo (DRC),2,25.0,10981.63
Rice,Cabo Verde,2,1000.0,76.64
Coffee,Mauritania,1,100.0,142.11
Plantain,Libya,8,25.0,1.75
Tomato,Somalia,10,500.0,374.06
Cocoa,Central African Republic,10,1000.0,1406.26
Plantain,Benin,12,50.0,275.39
Onion,Mauritius,1,500.0,22.98
Cocoa,Congo (DRC),3,1000.0,6906.5
Cassava,Morocco,10,10.0,1.75
Cassava,Egypt,11,10.0,9.21
Irish Potato,Cabo Verde,6,25.0,44.05
Beans,Gambia,2,1000.0,66.23
Beans,Rwanda,9,100.0,1475.27
Onion,Mauritania,1,100.0,21.23
Plantain,Eswatini,7,25.0,8.3
Coffee,South Africa,8,10.0,62.83
Cassava,Tanzania,9,500.0,513.33
Beans,Libya,10,250.0,5.71
Rice,Uganda,9,50.0,2915.05
Rice,Gambia,11,100.0,53.04
Plantain,Liberia,9,1000.0,68.32
Tomato,Morocco,5,50.0,6.45
Beans,Guinea,4,10.0,9264.44
Rice,Namibia,2,250.0,15.52
Rice,Angola,11,50.0,717.35
Tomato,Seychelles,12,1000.0,7.78
Coffee,Namibia,3,10.0,69.96
Irish Potato,Cameroon,4,25.0,302.5
Coffee,Togo,9,25.0,2220.11
Plantain,Niger,10,1000.0,193.97
Irish Potato,Cote d'Ivoire,4,250.0,302.39
Irish Potato,Zambia,7,50.0,10.77
Plantain,Angola,7,50.0,403.39
Coffee,Mauritania,5,100.0,176.18
Cocoa,South Sudan,4,50.0,10346.54
Irish Potato,Lesotho,6,250.0,7.41
Cocoa,Cote d'Ivoire,5,1000.0,1773.88
Rice,South Africa,12,1000.0,11.22
Coffee,Senegal,3,500.0,2478.68
Onion,Guinea-Bissau,9,25.0,392.18
Onion,Egypt,4,25.0,27.86
Rice,Ghana,4,25.0,14.26
Cassava,South Sudan,7,25.0,683.55
Maize,Eswatini,6,500.0,5.58
Cassava,Cameroon,9,500.0,106.22
Tomato,Gambia,6,1000.0,40.03
Coffee,Central African Republic,1,50.0,2447.03
Cocoa,Tunisia,4,1000.0,8.55
Coffee,Cameroon,8,500.0,2110.7
Beans,Sudan,3,250.0,600.57
Irish Potato,Somalia,7,25.0,235.62
Plantain,Madagascar,3,100.0,2516.34
Irish Potato,Mozambique,1,1000.0,32.68
Tomato,Burundi,9,500.0,2317.89
Rice,Eritrea,4,100.0,14.39
Cassava,Benin,5,250.0,133.74
Rice,Seychelles,9,500.0,9.02
Coffee,Ghana,5,50.0,71.4
Irish Potato,Sierra Leone,3,100.0,11342.16
Cassava,Cameroon,7,1000.0,120.63
Rice,Central African Republic,4,100.0,535.31
Plantain,Benin,3,10.0,313.98
Cocoa,Senegal,2,10.0,1730.19
Irish Potato,Somalia,5,25.0,263.54
Maize,South Sudan,4,500.0,977.22
Beans,Somalia,1,10.0,693.84
Plantain,Rwanda,8,25.0,578.87
Cassava,Liberia,7,500.0,43.04
Rice,Ethiopia,5,25.0,105.16
Onion,Sao Tome and Principe,12,10.0,12.84
Rice,Chad,2,25.0,547.16
Maize,Gambia,9,1000.0,17.87
Coffee,Mozambique,3,100.0,249.78
Tomato,Sudan,12,1000.0,316.02
Beans,Comoros,8,25.0,472.14
Coffee,Egypt,4,500.0,178.12
Irish Potato,Madagascar,5,500.0,2151.73
Beans,Angola,7,10.0,861.06
Rice,Lesotho,8,25.0,13.32
Cassava,Sao Tome and Principe,2,500.0,4.23
Tomato,Gabon,10,25.0,476.87
Tomato,Equatorial Guinea,6,100.0,403.32
Cocoa,Botswana,5,10.0,42.15
Plantain,Tanzania,10,250.0,1125.46
Cocoa,Tanzania,2,100.0,8050.31
Cocoa,Tunisia,6,10.0,11.92
Beans,Mali,6,25.0,546.07
Maize,Congo (DRC),11,10.0,858.99
Tomato,Ghana,7,25.0,11.37
Onion,South Sudan,3,50.0,1570.13
Cassava,Benin,7,50.0,135.29
Coffee,Mauritania,6,25.0,162.37
Maize,Tunisia,9,10.0,0.85
Maize,Cabo Verde,6,250.0,28.3
Tomato,South Sudan,12,500.0,2152.04
Onion,Libya,2,1000.0,1.97
Cassava,Gambia,1,50.0,13.56
Maize,Mali,11,500.0,179.06
Cocoa,Zambia,4,100.0,84.06
Cocoa,Gambia,10,250.0,195.87
Onion,Eritrea,3,25.0,8.52
Irish Potato,South Sudan,1,250.0,1834.2
Onion,Ghana,6,100.0,9.45
Rice,Tunisia,10,1000.0,1.83
Irish Potato,Eritrea,4,100.0,7.84
Rice,Guinea-Bissau,4,250.0,530.33
Rice,Eritrea,12,50.0,11.61
Plantain,Burundi,4,25.0,1594.32
Coffee,Gambia,11,25.0,218.17
Irish Potato,Sao Tome and Principe,7,25.0,9.02
Coffee,Tunisia,3,250.0,12.13
Coffee,Benin,8,1000.0,1897.33
Tomato,Togo,12,250.0,411.01
Onion,Benin,12,250.0,331.04
Maize,Angola,5,500.0,246.88
Cassava,Lesotho,3,100.0,3.95
Plantain,Seychelles,12,50.0,6.38
Coffee,Gabon,11,100.0,1923.14
Onion,Central African Republic,6,500.0,308.36
Cassava,Libya,3,1000.0,0.84
Irish Potato,South Sudan,11,25.0,1522.56
Coffee,Sudan,7,50.0,2054.45
Rice,Sierra Leone,7,100.0,17999.79
Onion,Zimbabwe,9,250.0,17.16
Coffee,Ethiopia,2,50.0,421.39
Cocoa,Seychelles,3,500.0,39.5
Irish Potato,Equatorial Guinea,9,1000.0,238.74
Coffee,Libya,7,100.0,19.98
Plantain,Central African Republic,8,250.0,246.24
Irish Potato,Mauritius,2,10.0,26.12
Coffee,Libya,12,25.0,16.26
Plantain,Comoros,6,50.0,200.84
Plantain,Uganda,3,50.0,2034.8
Beans,Zambia,3,10.0,30.51
Coffee,Sudan,11,250.0,1777.23
Tomato,Guinea,5,10.0,5601.84
Rice,Zimbabwe,6,1000.0,19.39
Cassava,Nigeria,7,50.0,346.23
Rice,Benin,4,1000.0,454.58
Coffee,Cabo Verde,4,10.0,452.19
Coffee,Central African Republic,9,100.0,2075.45
Cocoa,Malawi,9,50.0,5161.3
Coffee,Botswana,3,1000.0,47.24
Irish Potato,Comoros,7,50.0,178.98
Tomato,Burundi,9,1000.0,2128.53
Plantain,Somalia,2,1000.0,255.84
Rice,Tunisia,8,10.0,2.46
Rice,Madagascar,5,100.0,4111.26
Cassava,Zambia,6,250.0,5.08
Beans,Guinea-Bissau,11,50.0,672.27
Tomato,Gambia,2,10.0,41.97
Plantain,Seychelles,9,100.0,5.22
Cocoa,Mauritius,2,10.0,136.43
Cocoa,Congo (DRC),4,1000.0,7861.83
Rice,Liberia,8,1000.0,119.19
Maize,Congo (Republic),7,10.0,177.19
Coffee,Botswana,2,25.0,52.33
Rice,Togo,4,100.0,562.9
Irish Potato,Comoros,7,500.0,196.47
Onion,South Sudan,8,1000.0,1900.27
Tomato,Burkina Faso,6,25.0,446.08
Onion,Uganda,11,50.0,2145.55
Tomato,Madagascar,6,25.0,3419.61
Tomato,Mozambique,3,250.0,38.42
Cocoa,Congo (Republic),10,500.0,1685.34
Irish Potato,Tunisia,10,25.0,1.46
Plantain,Lesotho,7,100.0,7.89
Coffee,Guinea,4,1000.0,28330.3
Plantain,Kenya,12,50.0,61.26
Irish Potato,Mauritania,3,25.0,20.39
Onion,Benin,8,1000.0,373.44
Beans,Tanzania,4,100.0,2754.81
Cocoa,Somalia,9,250.0,1645.81
Coffee,Guinea,6,250.0,38147.54
Irish Potato,Morocco,4,50.0,4.94
Irish Potato,Namibia,12,1000.0,7.95
Plantain,Ghana,8,500.0,6.08
Maize,Rwanda,6,100.0,391.82
Plantain,Sao Tome and Principe,5,10.0,11.71
Rice,Mauritius,2,500.0,36.38
Irish Potato,Djibouti,7,10.0,69.21
Cocoa,Central African Republic,4,25.0,1976.24
Rice,Libya,3,1000.0,3.79
Tomato,Nigeria,11,25.0,1215.95
Irish Potato,Kenya,10,25.0,63.99
Cassava,Equatorial Guinea,5,10.0,142.23
Cocoa,Nigeria,2,10.0,4327.55
Cassava,Seychelles,7,500.0,2.91
Cassava,Guinea-Bissau,6,500.0,126.05
Rice,Ethiopia,3,25.0,106.95
Rice,Gambia,9,25.0,51.55
Tomato,Equatorial Guinea,3,25.0,362.87
Maize,Guinea,9,50.0,2276.74
Coffee,Congo (Republic),7,500.0,2129.71
Rice,Lesotho,8,250.0,12.23
Onion,Zimbabwe,6,250.0,15.25
Cocoa,Togo,7,500.0,1980.79
Irish Potato,Burkina Faso,9,10.0,253.08
Beans,Lesotho,6,50.0,17.23
Irish Potato,Madagascar,8,500.0,2058.69
Irish Potato,Congo (Republic),3,500.0,265.43
Irish Potato,Zimbabwe,9,1000.0,10.23
Tomato,Equatorial Guinea,2,50.0,379.29
Cocoa,Mauritania,8,1000.0,98.82
Coffee,Malawi,8,50.0,6602.71
Cassava,Comoros,9,10.0,88.66
Irish Potato,Gambia,1,500.0,35.56
Onion,Comoros,9,25.0,304.6
Coffee,Djibouti,12,1000.0,515.99
Cassava,Namibia,12,500.0,3.02
Coffee,Djibouti,5,1000.0,658.91
Maize,Guinea,12,100.0,2928.99
Irish Potato,Senegal,8,500.0,248.59
Irish Potato,South Africa,11,25.0,9.3
Plantain,Malawi,5,1000.0,740.12
Cassava,Congo (DRC),11,100.0,510.1
Irish Potato,Burkina Faso,2,50.0,299.35
Tomato,Gabon,3,25.0,343.83
Plantain,Ghana,6,100.0,6.67
Plantain,Morocco,9,250.0,3.88
Tomato,Ghana,8,50.0,12.06
Maize,Cote d'Ivoire,12,500.0,192.73
Coffee,Burundi,5,100.0,11660.48
Tomato,Comoros,5,100.0,307.91
Tomato,Seychelles,3,1000.0,6.85
Onion,Djibouti,8,25.0,119.44
Cassava,Cameroon,1,1000.0,106.11
Coffee,Congo (Republic),5,500.0,2456.75
Cassava,Angola,2,25.0,192.19
Beans,Seychelles,2,25.0,16.15
Onion,South Africa,3,500.0,9.51
Plantain,Benin,11,1000.0,215.69
Maize,Mauritius,7,500.0,12.6
Tomato,Seychelles,2,1000.0,6.74
Coffee,Guinea,1,1000.0,25854.92
Coffee,Sao Tome and Principe,1,500.0,65.39
Beans,Cabo Verde,12,25.0,128.11
Onion,Liberia,7,250.0,118.9
Cocoa,Seychelles,12,1000.0,32.2
Irish Potato,Rwanda,4,250.0,643.05
Irish Potato,Comoros,5,500.0,180.02
Maize,Nigeria,10,1000.0,470.03
Rice,Ethiopia,5,250.0,113.82
Maize,Zimbabwe,3,10.0,9.49
Onion,Sudan,2,25.0,288.91
Onion,Gabon,8,1000.0,349.46
Irish Potato,Equatorial Guinea,3,500.0,266.48
Cassava,Mauritania,4,250.0,8.58
Coffee,Angola,6,25.0,3555.11
Rice,Malawi,8,100.0,1293.13
Beans,Eswatini,10,1000.0,18.15
Cocoa,Gambia,5,1000.0,194.48
Rice,Sao Tome and Principe,7,25.0,17.16
Cassava,Sao Tome and Principe,9,1000.0,3.6
Plantain,Libya,5,500.0,2.48
Irish Potato,Congo (Republic),5,10.0,267.34
Beans,Nigeria,2,250.0,1574.64
Coffee,Libya,2,100.0,17.56
Maize,Morocco,4,25.0,3.38
Cocoa,Sierra Leone,1,50.0,63417.54
Tomato,Cameroon,4,1000.0,328.62
Onion,Togo,10,50.0,381.51
Cassava,Congo (DRC),2,10.0,549.99
Rice,Botswana,1,1000.0,9.97
Maize,Cameroon,7,500.0,161.45
Maize,Senegal,1,250.0,209.65
Rice,Morocco,6,100.0,7.81
Beans,Guinea-Bissau,9,50.0,624.41
Maize,Chad,6,500.0,175.95
Beans,Central African Republic,10,25.0,724.09
Onion,Eritrea,12,250.0,7.75
Cocoa,Burkina Faso,11,500.0,1502.04
Irish Potato,Congo (DRC),6,250.0,1160.85
Tomato,Egypt,12,100.0,35.9
Rice,Madagascar,4,250.0,4607.74
Tomato,Mauritius,12,10.0,30.48
Onion,Namibia,7,250.0,10.6
Irish Potato,Guinea-Bissau,1,50.0,319.75
Coffee,Congo (Republic),4,100.0,2809.18
Irish Potato,Congo (Republic),11,500.0,283.34
Maize,Senegal,12,100.0,223.35
Maize,Mauritius,9,1000.0,10.81
Coffee,Libya,8,250.0,18.84
Tomato,Botswana,5,100.0,7.82
Plantain,Togo,5,100.0,311.82
Coffee,Uganda,7,100.0,14679.42
Beans,Congo (DRC),2,10.0,3274.45
Onion,Guinea,5,500.0,4240.75
Irish Potato,Angola,3,100.0,460.87
Tomato,Tunisia,12,25.0,2.17
Tomato,Eritrea,5,250.0,9.47
Cassava,Senegal,2,25.0,130.52
Coffee,Liberia,2,500.0,703.5
Rice,Zimbabwe,10,25.0,18.38
Rice,Cote d'Ivoire,9,25.0,436.21
Irish Potato,Zimbabwe,1,1000.0,12.83
Rice,Morocco,9,1000.0,6.47
Rice,Congo (DRC),5,100.0,2384.01
Cassava,Equatorial Guinea,12,100.0,122.37
Beans,Zimbabwe,12,1000.0,29.4
Coffee,Djibouti,1,50.0,644.37
Maize,Malawi,3,100.0,624.87
Beans,Ghana,9,500.0,15.28
Beans,Eritrea,7,10.0,15.72
Plantain,South Africa,12,100.0,7.48
Tomato,Senegal,12,100.0,412.05
Coffee,Eritrea,2,25.0,56.84
Cocoa,Djibouti,9,10.0,555.87
Coffee,Mali,10,10.0,2152.63
Tomato,Central African Republic,7,250.0,445.04
Onion,Guinea,5,10.0,5303.25
Onion,Tanzania,2,10.0,1324.01
Plantain,Tanzania,5,100.0,1317.64
Cocoa,Comoros,10,250.0,1232.3
Tomato,Mauritania,12,1000.0,21.67
Plantain,Equatorial Guinea,12,100.0,300.05
Irish Potato,Congo (Republic),9,10.0,303.46
Beans,Nigeria,5,10.0,1426.93
Plantain,Morocco,3,250.0,5.2
Plantain,Sierra Leone,3,250.0,12293.43
Cocoa,Kenya,8,250.0,355.23
Tomato,Benin,11,25.0,411.43
Tomato,Ghana,1,25.0,9.79
Plantain,Togo,6,25.0,291.82
Plantain,Algeria,4,1000.0,55.43
Plantain,Algeria,11,500.0,54.06
Tomato,Tanzania,3,1000.0,1401.64
Irish Potato,Burkina Faso,1,500.0,336.19
Coffee,Mauritius,6,50.0,198.38
Plantain,Central African Republic,8,500.0,223.95
